sentence,ambiguous_word,label
ನಾನು 9/11 ರಂದು ಭೇಟಿಯಾಗಿದ್ದೇನೆ.,9/11,Date
ನನ್ನ ಮನೆ ಸಂಖ್ಯೆ 12/2 ಇದೆ.,12/2,Address
ನಿಮ್ಮ ಮೊಬೈಲ್ ನಂಬರವೇನು? 9876543210.,9876543210,Phone Number
ನಾನು 12/2 ಅಲ್ಲಿ ವಾಸಿಸುತ್ತೇನೆ.,12/2,Address
ನಾನು 12/10/2022 ರಂದು ಬರ್ತಿದ್ದೇನೆ.,12/10/2022,Date
ಇದು ನನ್ನ ಫೋನ್ ಸಂಖ್ಯೆ: 1234567890.,1234567890,Phone Number
"ನನ್ನ ವಿಳಾಸ 15/4, ಬೆಂಗಳೂರ.",15/4,Address
ನಾನು 11-11-2021 ರಂದು ಹೋಗಿದ್ದೇನೆ.,11-11-2021,Date
ನಿಮ್ಮ ಫೋನ್ ನಂಬರವೇನು? 8765432109.,8765432109,Phone Number
ನಾನು 5/7/2023 ರಂದು ಹೋದಿದ್ದೇನೆ.,5/7/2023,Date
"ನನ್ನ ಮನೆಯ ವಿಳಾಸ 44/3, ಮೈಸೂರು.",44/3,Address
ನಾನು 10-10-2020 ರಂದು ಮರಳಿದ್ದೇನೆ.,10-10-2020,Date
ಇದು ನಿಮ್ಮ ಫೋನ್ ನಂಬರಾ? 1122334455.,1122334455,Phone Number
ನಾನು 25-12-2023 ರಂದು ಹೋದಿದ್ದೇನೆ.,25-12-2023,Date
ನನ್ನ ಮನೆಯ ಸಂಖ್ಯೆ 14/5 ಇದೆ.,14/5,Address
ನೀವು 22/7/2021 ರಂದು ಭೇಟಿ ನೀಡಿದ್ದೀರಾ?,22/7/2021,Date
ನಿಮ್ಮ ಮನೆ ಸಂಖ್ಯೆ 18/2 ಯಾವುದು?,18/2,Address
ನಾನು 14/4 ಅಲ್ಲಿ ವಾಸಿಸುತ್ತೇನೆ.,14/4,Address
ನಿಮ್ಮ ಪರ್ಸನಲ್ ನಂಬರವೇನು? 9999999999.,9999999999,Phone Number
ನೀವು 23-03-2022 ನಲ್ಲಿ ಬರ್ತೀರಾ?,23-03-2022,Date
ನನ್ನ ಮನೆ 20/2 ಇದೆ.,20/2,Address
ನಾನು 20-07-2021 ರಂದು ಭೇಟಿಯಾಗಿದ್ದೇನೆ.,20-07-2021,Date
ನೀವು 13/6 ನಲ್ಲಿ ಇದ್ದೀರಿ.,13/6,Address
ನಿಮ್ಮ ಫೋನ್ ನಂಬರ 7788994455.,7788994455,Phone Number
ನಾನು 8/8/2022 ರಂದು ಪ್ರಸ್ತುತಸ್ಥಾನವಿದೆ.,8/8/2022,Date
"ನನ್ನ ಮನೆ 9/2, ಬೆಂಗಳೂರು.",9/2,Address
ನೀವು 12-12-2021 ರಂದು ಹೋದಿರಾ?,12-12-2021,Date
ನಿಮ್ಮ ಕಚೇರಿ ವಿಳಾಸ 21/7 ಯಾವುದು?,21/7,Address
ನನ್ನ ಹೊಸ ಫೋನ್ ಸಂಖ್ಯೆ 5432109876.,5432109876,Phone Number
ನೀವು 11-09-2023 ನಲ್ಲಿ ಬರ್ತೀರಾ?,11-09-2023,Date
ನಾನು 7/11 ಅಲ್ಲಿ ವಾಸಿಸುತ್ತೇನೆ.,7/11,Address
ನಾನು 6-6-2020 ರಂದು ಹೋದಿದ್ದೇನೆ.,6-6-2020,Date
ನಿಮ್ಮ ಫೋನ್ ನಂಬರ 6677889900.,6677889900,Phone Number
ನನ್ನ ಮನೆ 18/9 ಇದೆ.,18/9,Address
ನೀವು 11/11/2022 ನಲ್ಲಿ ಭೇಟಿ ನೀಡಿದ್ದೀರಾ?,11/11/2022,Date
ನೀವು 23/4 ಅಲ್ಲಿ ವಾಸಿಸುತ್ತೀರಾ.,23/4,Address
ನೀವು 15-03-2023 ನಲ್ಲಿ ಹೋಗುತ್ತೀರಾ?,15-03-2023,Date
ನಿಮ್ಮ ಹೊಸ ನಂಬರವೇನು? 9988776655.,9988776655,Phone Number
ನಿಮ್ಮ ವಿಳಾಸ 32/6 ಯಾವುದು?,32/6,Address
